,videoId,publishedAt,title,tags,duration,viewCount,likeCount,commentCount
20,7UslmEai4ts,2023-06-09T11:01:41Z,5 Minutes Of Ian Wright Being A LEGEND | Premier League | Arsenal & West Ham,"['Ian Wright', 'Wright', 'Arsenal', 'West Ham', 'West Ham United', 'Ian Wright Arsenal', 'Ian Wright goals', 'Arsenal goals', 'Arsenal highlights', 'West Ham goals', 'West Ham highlights', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'Ian Wright Premier League', 'Wright Premier League', 'Ian Wright West Ham', 'goal', 'highlights', 'football', 'soccer', 'legend', 'icon', 'football legend', 'soccer legend', 'Arsenal legend', 'highlight reel', 'best goals', 'best Premier League goals']",PT5M1S,62345,1287,135
21,B-g6PTXkmvI,2023-06-09T09:50:37Z,Man City regain possession in seconds! #shorts,"['Man City', 'Manchester City', 'run', 'running', 'sprinting', 'fastest footballers', 'fastest', 'speed', 'Manchester United', 'Man United', 'defending', 'Man City goals', 'Man City highlights', 'Manchester City goals', 'Manchester City highlights', 'pressing', 'press', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT12S,825872,13227,69
22,e9uVKutLzvk,2023-06-08T15:01:53Z,Would you be embarrassed? Sit down!,"['Sit down', 'sat down', 'football', 'soccer', 'football skills', 'soccer skills', 'skills', 'humiliating skills', 'humiliating', 'footballers sat down', 'embarrassed', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'Mohamed Salah', 'Liverpool', 'Cristiano Ronaldo', 'Manchester United', 'Allan Saint-Maximin', 'Newcastle', 'Sofiane Boufal', 'Adel Taarabt', 'Riyad Mahrez', 'Man City', 'Manchester City', 'Man United', 'Mo Salah', 'Cristiano', 'Ronaldo', 'Mahrez', 'Saint Maximin', 'embarrassing']",PT9M27S,155419,2584,189
23,84ImO3QpM78,2023-06-08T10:07:07Z,Beautiful Alexis Mac Allister skill vs Liverpool,"['Alexis Mac Allister', 'Alexis', 'Mac Allister', 'Liverpool', 'Alexis Mac Allister Liverpool', 'Mac Allister Liverpool', 'skill', 'skills', 'football skills', 'soccer skills', 'beautiful', 'Brighton', 'Alexis Mac Allister skills', 'Mac Allister skills', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem', 'PL', 'pl']",PT11S,596953,15004,122
24,CL6hRTyyz4E,2023-06-07T15:01:00Z,"BEST OF UNCUT ft. Garnacho, Mount, Gabriel Magalhaes, Pope AND MORE!","['alejandro garnacho', 'alejandro garnacho interview', 'alejandro garnacho man utd', 'garnacho man utd', 'scott mctominay', 'scott mctominay man utd', 'facundo pellistri', 'facundo pellistri man utd', 'man utd', 'manchester united', 'mason mount', 'mason mount declan rice', 'mason mount highlights', 'mason mount chelsea goals', 'mason mount chelsea', 'gabriel magalhaes', 'gabriel magalhaes arsenal', 'best of', 'best of uncut', 'funny moments', 'uncut', 'premier league', 'premier league uncut', 'pl uncut', 'football', 'soccer']",PT16M28S,140483,3417,120
25,odZireaZv0w,2023-06-07T09:31:28Z,When you round Ederson & score from a tight angle!,"['Ederson', 'round Ederson', 'tight angle', 'tight angle goals', 'West Ham', 'West Ham goals', 'West Ham highlights', 'Man City', 'Man City goalkeeper', 'Manchester City', 'Man City highlights', 'Manchester City highlights', 'Jarrod Bowen', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Bowen', 'Prem', 'PL']",PT12S,1027677,16690,58
26,53wd6vhHXas,2023-06-05T13:09:36Z,Zlatan comes in clutch against Liverpool!,"['Zlatan Ibrahimovic', 'Zlatan', 'Ibrahimovic', 'Manchester United', 'Man United', 'Man Utd', 'Zlatan Ibrahimovic goal', 'Zlatan goal', 'Ibrahimovic goal', 'Manchester United goals', 'Man United goals', 'Liverpool', 'clutch', 'clutch goal', 'goal', 'highlight', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Man United Liverpool']",PT15S,14707798,276089,633
27,NgRuMXWjk1s,2023-06-03T08:01:01Z,Man Utd defender on a mission vs Man City,"['Luke Shaw', 'defender on a mission', 'Manchester United', 'Man City', 'Manchester City', 'Man United', 'Man Utd', 'Manchester United goal', 'Manchester United goals', 'Manchester United highlights', 'Man United goals', 'Man United highlights', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem']",PT14S,3067099,84887,260
28,vaZL6BKM80A,2023-06-02T09:47:15Z,How did Bernardo Silva squeeze this in?!,"['Bernardo Silva', 'Bernardo', 'Silva', 'Man City', 'Manchester City', 'Man City goals', 'Manchester City goals', 'Man City highlights', 'Manchester City highlights', 'Manchester United', 'Man City vs Manchester United', 'Man City Manchester United', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem']",PT12S,1729547,45507,361
29,SfJtHE2wKuo,2023-06-01T15:07:24Z,10 Emotional Farewells | Premier League,"['emotional farewells', 'emotional farewell', 'emotional farewells in football', 'emotional farewell football', 'farewell', 'football farewell', 'soccer farewell', 'goodbye', 'football', 'soccer', 'Premier League', 'Premier League farewell', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'goals', 'highlights', 'emotion', 'emotional', 'Highbury', 'Sir Alex Ferguson', 'Arsene Wenger', 'Mark Noble', 'Manchester United', 'Man United', 'Arsenal', 'Upton Park', 'John Terry', 'Chelsea', 'Steven Gerrard', 'Liverpool']",PT9M5S,340262,6233,238
